codigo_dane,año,asesinatos_mindef
19001,2019,57.0
19001,2020,69.0
19001,2021,77.0
19001,2022,74.0
19001,2023,71.0
19022,2019,4.0
19022,2020,5.0
19022,2021,2.0
19022,2022,6.0
19022,2023,1.0
19050,2019,45.0
19050,2020,80.0
19050,2021,79.0
19050,2022,39.0
19050,2023,30.0
19075,2019,18.0
19075,2020,15.0
19075,2021,15.0
19075,2022,19.0
19075,2023,25.0
19100,2019,23.0
19100,2020,19.0
19100,2021,22.0
19100,2022,27.0
19100,2023,21.0
19110,2019,25.0
19110,2020,44.0
19110,2021,30.0
19110,2022,46.0
19110,2023,24.0
19130,2019,18.0
19130,2020,21.0
19130,2021,14.0
19130,2022,13.0
19130,2023,17.0
19137,2019,8.0
19137,2020,7.0
19137,2021,18.0
19137,2022,32.0
19137,2023,14.0
19142,2019,37.0
19142,2020,30.0
19142,2021,17.0
19142,2022,29.0
19142,2023,39.0
19212,2019,70.0
19212,2020,50.0
19212,2021,50.0
19212,2022,27.0
19212,2023,54.0
19256,2019,47.0
19256,2020,79.0
19256,2021,63.0
19256,2022,45.0
19256,2023,26.0
19290,2020,1.0
19290,2021,6.0
19290,2022,5.0
19290,2023,2.0
19300,2019,13.0
19300,2020,17.0
19300,2021,15.0
19300,2022,20.0
19300,2023,36.0
19318,2019,14.0
19318,2020,2.0
19318,2021,10.0
19318,2022,20.0
19318,2023,7.0
19355,2019,5.0
19355,2020,3.0
19355,2021,9.0
19355,2022,3.0
19355,2023,7.0
19364,2019,2.0
19364,2020,2.0
19364,2021,2.0
19364,2022,3.0
19364,2023,7.0
19392,2019,2.0
19392,2020,2.0
19392,2021,3.0
19392,2022,4.0
19392,2023,5.0
19397,2019,3.0
19397,2020,2.0
19397,2021,9.0
19397,2022,2.0
19397,2023,3.0
19418,2019,8.0
19418,2020,11.0
19418,2021,3.0
19418,2022,3.0
19418,2023,4.0
19450,2019,15.0
19450,2020,22.0
19450,2021,16.0
19450,2022,19.0
19450,2023,18.0
19455,2019,31.0
19455,2020,22.0
19455,2021,34.0
19455,2022,36.0
19455,2023,43.0
19473,2019,7.0
19473,2020,17.0
19473,2021,19.0
19473,2022,19.0
19473,2023,10.0
19513,2019,15.0
19513,2020,6.0
19513,2021,6.0
19513,2022,10.0
19513,2023,5.0
19517,2019,16.0
19517,2020,11.0
19517,2021,16.0
19517,2022,6.0
19517,2023,8.0
19532,2019,30.0
19532,2020,27.0
19532,2021,48.0
19532,2022,40.0
19532,2023,51.0
19533,2019,7.0
19533,2020,7.0
19533,2021,1.0
19533,2022,12.0
19533,2023,11.0
19548,2019,6.0
19548,2020,13.0
19548,2021,13.0
19548,2022,7.0
19548,2023,8.0
19573,2019,57.0
19573,2020,37.0
19573,2021,50.0
19573,2022,54.0
19573,2023,49.0
19585,2019,1.0
19585,2020,1.0
19585,2022,1.0
19585,2023,1.0
19622,2019,1.0
19622,2020,10.0
19622,2021,2.0
19622,2022,7.0
19622,2023,4.0
19693,2019,1.0
19693,2021,2.0
19693,2023,2.0
19698,2019,104.0
19698,2020,77.0
19698,2021,90.0
19698,2022,146.0
19698,2023,152.0
19743,2019,2.0
19743,2021,3.0
19743,2022,4.0
19743,2023,9.0
19760,2019,1.0
19760,2021,3.0
19760,2022,2.0
19760,2023,5.0
19780,2019,32.0
19780,2020,33.0
19780,2021,28.0
19780,2022,28.0
19780,2023,21.0
19785,2019,2.0
19785,2020,2.0
19785,2021,1.0
19785,2022,3.0
19785,2023,7.0
19807,2019,8.0
19807,2020,10.0
19807,2021,6.0
19807,2022,13.0
19807,2023,2.0
19809,2019,3.0
19809,2020,9.0
19809,2021,3.0
19809,2022,9.0
19809,2023,2.0
19821,2019,22.0
19821,2020,13.0
19821,2021,9.0
19821,2022,14.0
19821,2023,20.0
19824,2019,1.0
19824,2020,5.0
19824,2021,4.0
19824,2023,4.0
19845,2019,12.0
19845,2020,13.0
19845,2021,14.0
19845,2022,26.0
19845,2023,18.0
