codigo_dane,año,les_personales_polinal
19001,2019,1464.0
19001,2020,784.0
19001,2021,841.0
19001,2022,1109.0
19001,2023,1627.0
19022,2019,14.0
19022,2020,3.0
19022,2021,18.0
19022,2022,7.0
19022,2023,14.0
19050,2019,12.0
19050,2020,9.0
19050,2021,36.0
19050,2022,14.0
19050,2023,31.0
19075,2019,24.0
19075,2020,14.0
19075,2021,17.0
19075,2022,17.0
19075,2023,24.0
19100,2019,54.0
19100,2020,21.0
19100,2021,18.0
19100,2022,33.0
19100,2023,46.0
19110,2019,55.0
19110,2020,25.0
19110,2021,31.0
19110,2022,22.0
19110,2023,24.0
19130,2019,59.0
19130,2020,36.0
19130,2021,38.0
19130,2022,33.0
19130,2023,45.0
19137,2019,21.0
19137,2020,14.0
19137,2021,30.0
19137,2022,19.0
19137,2023,40.0
19142,2019,96.0
19142,2020,30.0
19142,2021,25.0
19142,2022,49.0
19142,2023,59.0
19212,2019,25.0
19212,2020,27.0
19212,2021,25.0
19212,2022,17.0
19212,2023,8.0
19256,2019,62.0
19256,2020,57.0
19256,2021,31.0
19256,2022,52.0
19256,2023,82.0
19290,2019,6.0
19290,2020,3.0
19290,2021,1.0
19290,2022,4.0
19290,2023,4.0
19300,2019,112.0
19300,2020,57.0
19300,2021,48.0
19300,2022,73.0
19300,2023,147.0
19318,2019,39.0
19318,2020,18.0
19318,2021,19.0
19318,2022,26.0
19318,2023,17.0
19355,2019,34.0
19355,2020,23.0
19355,2021,32.0
19355,2022,24.0
19355,2023,46.0
19364,2019,1.0
19364,2020,5.0
19364,2021,6.0
19364,2022,3.0
19364,2023,11.0
19392,2019,23.0
19392,2020,11.0
19392,2021,19.0
19392,2022,10.0
19392,2023,15.0
19397,2019,49.0
19397,2020,21.0
19397,2021,24.0
19397,2022,26.0
19397,2023,32.0
19418,2019,3.0
19418,2020,3.0
19418,2022,1.0
19450,2019,46.0
19450,2020,13.0
19450,2021,21.0
19450,2022,18.0
19450,2023,19.0
19455,2019,85.0
19455,2020,52.0
19455,2021,75.0
19455,2022,49.0
19455,2023,81.0
19473,2019,26.0
19473,2020,9.0
19473,2021,8.0
19473,2022,12.0
19473,2023,20.0
19513,2019,33.0
19513,2020,20.0
19513,2021,23.0
19513,2022,23.0
19513,2023,39.0
19517,2019,19.0
19517,2020,19.0
19517,2021,17.0
19517,2022,30.0
19517,2023,45.0
19532,2019,106.0
19532,2020,73.0
19532,2021,66.0
19532,2022,84.0
19532,2023,97.0
19533,2019,3.0
19533,2020,2.0
19533,2021,7.0
19533,2022,1.0
19533,2023,12.0
19548,2019,98.0
19548,2020,45.0
19548,2021,50.0
19548,2022,82.0
19548,2023,114.0
19573,2019,232.0
19573,2020,107.0
19573,2021,151.0
19573,2022,146.0
19573,2023,241.0
19585,2019,13.0
19585,2020,13.0
19585,2021,20.0
19585,2022,28.0
19585,2023,28.0
19622,2019,22.0
19622,2020,23.0
19622,2021,12.0
19622,2022,20.0
19622,2023,10.0
19693,2019,8.0
19693,2020,5.0
19693,2021,8.0
19693,2022,5.0
19693,2023,20.0
19698,2019,332.0
19698,2020,215.0
19698,2021,231.0
19698,2022,253.0
19698,2023,374.0
19701,2019,1.0
19701,2020,6.0
19701,2021,1.0
19701,2022,4.0
19701,2023,7.0
19743,2019,44.0
19743,2020,19.0
19743,2021,29.0
19743,2022,37.0
19743,2023,91.0
19760,2019,15.0
19760,2020,12.0
19760,2021,7.0
19760,2022,8.0
19760,2023,5.0
19780,2019,56.0
19780,2020,12.0
19780,2021,32.0
19780,2022,21.0
19780,2023,15.0
19785,2019,6.0
19785,2020,3.0
19785,2021,2.0
19785,2022,4.0
19785,2023,7.0
19807,2019,73.0
19807,2020,59.0
19807,2021,60.0
19807,2022,65.0
19807,2023,96.0
19809,2019,21.0
19809,2020,4.0
19809,2021,9.0
19809,2022,11.0
19809,2023,12.0
19821,2019,32.0
19821,2020,11.0
19821,2021,6.0
19821,2022,7.0
19821,2023,12.0
19824,2019,48.0
19824,2020,14.0
19824,2021,19.0
19824,2022,33.0
19824,2023,55.0
19845,2019,78.0
19845,2020,43.0
19845,2021,34.0
19845,2022,73.0
19845,2023,113.0
